Tract Hemisphere Point Value Std.Error DF t.value p.value p.val.adj
CST L 1 0.0169212121212123 0.0232323670374837 521 0.728346452770448 0.466728763284201 0.999900009999
CST L 2 0.00624848484848142 0.0232323670374837 521 0.268956014615297 0.788070003422601 1
CST L 3 -0.0135474747474734 0.0232323670374837 521 -0.583129335276754 0.560058553867922 1
CST L 4 -0.000977777777777704 0.0232323670374837 521 -0.0420868771658150 0.966445565244867 1
CST L 5 0.0089171717171707 0.0232323670374837 521 0.383825363243595 0.701264474186275 1
CST L 6 0.00378181818181861 0.0232323670374837 521 0.162782301765332 0.870752960673295 1
CST L 7 -0.00483030303030601 0.0232323670374838 521 -0.207912651453581 0.83537841769085 1
CST L 8 0.00377676767676769 0.0232323670374838 521 0.162564910870862 0.8709240472079 1
CST L 9 0.00342626262626205 0.0232323670374837 521 0.147477982795899 0.882811810755717 1
CST L 10 -0.00671616161615971 0.0232323670374837 521 -0.289086411441575 0.772630244297336 1
CST L 11 -0.0156909090909090 0.0232323670374837 521 -0.675390030882041 0.499727635916711 0.999900009999
CST L 12 -0.0235909090909086 0.0232323670374837 521 -1.01543286798312 0.310370849765804 0.98920107989201
CST L 13 -0.0191060606060612 0.0232323670374837 521 -0.822389753710201 0.411231324491713 0.999300069993
CST L 14 -0.0323050505050502 0.0232323670374837 521 -1.39051911726981 0.164964968042560 0.87921207879212
CST L 15 -0.0481939393939389 0.0232323670374837 521 -2.07443087121435 0.0385297631426485 0.412858714128587
CST L 16 -0.0443030303030282 0.0232323670374837 521 -1.90695292612882 0.0570764104158958 0.527447255274473
CST L 17 -0.0640303030303022 0.0232323670374837 521 -2.75608175985658 0.00605479965088539 0.0999900009999
CST L 18 -0.0597464646464654 0.0232323670374837 521 -2.57169080318286 0.0103964504225820 0.154084591540846
CST L 19 -0.0672505050505052 0.0232323670374837 521 -2.89469019415892 0.00395447774857889 0.067993200679932
CST L 20 -0.0695888888888894 0.0232323670374837 521 -2.99534217829 0.00287180570221923 0.050994900509949
CST L 21 -0.0608939393939386 0.0232323670374837 521 -2.62108201440218 0.00902117466226842 0.136786321367863
CST L 22 -0.0734292929292932 0.0232323670374837 521 -3.16064621443094 0.00166573287145611 0.031996800319968
CST L 23 -0.0639404040404048 0.0232323670374837 521 -2.75221220193541 0.00612575724196985 0.100689931006899
CST L 24 -0.0369494949494957 0.0232323670374837 521 -1.59043178380749 0.112344081834995 0.763523647635237
CST L 25 -0.0149484848484849 0.0232323670374837 521 -0.643433569397667 0.520225912345377 0.999900009999
CST L 26 -0.00818686868686825 0.0232323670374837 521 -0.352390639905927 0.724687822926578 1
CST L 27 -0.0157212121212124 0.0232323670374837 521 -0.676694376248763 0.498900200925425 0.999900009999
CST L 28 -0.0268909090909090 0.0232323670374837 521 -1.15747607841777 0.247608275164184 0.967203279672033
CST L 29 -0.0313717171717172 0.0232323670374837 521 -1.35034527997518 0.177491526824878 0.8996100389961
CST L 30 0.0218848484848479 0.0232323670374837 521 0.941998223837386 0.346630124974504 0.995300469953005
