Tract Hemisphere Point Value Std.Error DF t.value p.value p.val.adj Position
AF L 1 0.0326699999999992 0.0266844200787627 447 1.22430991205990 0.221480202972862 1 0
AF L 2 0.0181433333333348 0.0266844200787626 447 0.679922339694187 0.496905601201646 1 3.125
AF L 3 0.00730333333333368 0.0266844200787626 447 0.273692788217878 0.784447139352433 1 6.25
AF L 4 0.0172733333333339 0.0266844200787626 447 0.647319045433605 0.517757766924382 1 9.375
AF L 5 0.0518533333333337 0.0266844200787626 447 1.94320630466323 0.0526186240482637 1 12.5
AF L 6 0.0390100000000011 0.0266844200787627 447 1.46190173460235 0.144470787267688 1 15.625
AF L 7 0.0210733333333310 0.0266844200787627 447 0.789724238755432 0.430107543903202 1 18.75
AF L 8 0.0196133333333337 0.0266844200787626 447 0.73501066447921 0.462718434710701 1 21.875
AF L 9 0.0092666666666684 0.0266844200787627 447 0.347268804767598 0.728552827355892 1 25
AF L 10 0.00732999999999937 0.0266844200787627 447 0.27469212290782 0.783679693908876 1 28.125
AF L 11 0.0158633333333328 0.0266844200787627 447 0.594479223700949 0.552492401905413 1 31.25
AF L 12 0.00311000000000016 0.0266844200787626 447 0.116547408218750 0.907271059161937 1 34.375
AF L 13 0.00820000000000102 0.0266844200787626 447 0.307295417168431 0.75876163709207 1 37.5
AF L 14 0.0288866666666673 0.0266844200787627 447 1.08252930291925 0.279601012728445 1 40.625
AF L 15 0.0498366666666658 0.0266844200787627 447 1.86763161873356 0.062467612119147 1 43.75
AF L 16 0.0481266666666666 0.0266844200787627 447 1.80354928173872 0.0719751754448022 1 46.875
AF L 17 0.0266099999999991 0.0266844200787627 447 0.997211103762273 0.319201560668595 1 50
AF L 18 0.0242966666666675 0.0266844200787626 447 0.910518819406705 0.363039681743780 1 53.125
AF L 19 0.0278566666666664 0.0266844200787626 447 1.04393000051880 0.297082001514113 1 56.25
AF L 20 0.00959999999999885 0.0266844200787627 447 0.359760488392221 0.719196157511754 1 59.375
AF L 21 0.000473333333334355 0.0266844200787627 447 0.0177381907471569 0.985855628212632 1 62.5
AF L 22 -0.00324333333333255 0.0266844200787626 447 -0.121544081668607 0.90331472043911 1 65.625
AF L 23 0.00869000000000007 0.0266844200787627 447 0.32565819209675 0.744835366544543 1 68.75
AF L 24 0.0246833333333325 0.0266844200787627 447 0.92500917241133 0.355460230694038 1 71.875
AF L 25 0.0205666666666667 0.0266844200787627 447 0.770736879645929 0.44127008597811 1 75
AF L 26 0.03679 0.0266844200787627 447 1.37870712166160 0.168674623978309 1 78.125
AF L 27 0.0427533333333329 0.0266844200787627 447 1.60218334170803 0.109821461260764 1 81.25
AF L 28 0.0350099999999995 0.0266844200787627 447 1.31200153110552 0.190192984031316 1 84.375
AF L 29 0.0200133333333332 0.0266844200787626 447 0.750000684828868 0.453648853694338 1 87.5
AF L 30 0.0239966666666667 0.0266844200787627 447 0.899276304144414 0.368989678536159 1 90.625
AF L 31 0.0232799999999999 0.0266844200787627 447 0.872419184351236 0.383448111649785 1 93.75
AF L 32 0.00107333333333300 0.0266844200787627 447 0.0402232212716228 0.967933123548247 1 96.875
AF L 33 0.021076666666667 0.0266844200787627 447 0.789849155591778 0.430034655013288 1 100
AF R 1 -0.0163333333333333 0.0447458530193979 244 -0.365024515819436 0.715409299817261 1 0
AF R 2 0.0022333333333329 0.0447458530193978 244 0.0499115154283621 0.960233733311758 1 2.85714285714286
AF R 3 -0.0446166666666659 0.0447458530193978 244 -0.997112886580216 0.319697522846325 1 5.71428571428571
AF R 4 -0.062383333333335 0.0447458530193979 244 -1.39417016603284 0.164534452452341 1 8.57142857142857
AF R 5 -0.0601000000000009 0.0447458530193979 244 -1.34314122861725 0.180474203747622 1 11.4285714285714
AF R 6 -0.0249166666666656 0.0447458530193978 244 -0.556848623622484 0.578141247463872 1 14.2857142857143
AF R 7 -0.0279833333333322 0.0447458530193978 244 -0.625383838837559 0.532303629192705 1 17.1428571428571
AF R 8 -0.0289166666666673 0.0447458530193979 244 -0.64624238259871 0.518729749445926 1 20
AF R 9 -0.0153166666666659 0.0447458530193979 244 -0.342303602079637 0.732417093036983 1 22.8571428571429
AF R 10 -0.0319666666666651 0.0447458530193978 244 -0.714405123818003 0.475659592833258 1 25.7142857142857
AF R 11 -0.0345666666666678 0.0447458530193979 244 -0.772511067152584 0.440559422861106 1 28.5714285714286
AF R 12 -0.0357500000000007 0.0447458530193979 244 -0.798956720849698 0.425092521180145 1 31.4285714285714
AF R 13 -0.0176833333333336 0.0447458530193979 244 -0.395194909473905 0.693044319354561 1 34.2857142857143
AF R 14 -0.0153999999999998 0.0447458530193978 244 -0.344165972058321 0.731017891712198 1 37.1428571428571
AF R 15 -0.0248499999999985 0.0447458530193978 244 -0.555358727639537 0.57915811743101 1 40
AF R 16 0.0155999999999984 0.0447458530193979 244 0.348635660007097 0.727663487813277 1 42.8571428571429
AF R 17 0.0254000000000003 0.0447458530193978 244 0.567650369498802 0.570794327315333 1 45.7142857142857
AF R 18 0.0168499999999997 0.0447458530193979 244 0.376571209687186 0.706819541667991 1 48.5714285714286
AF R 19 -0.0302833333333339 0.0447458530193979 244 -0.676785250248905 0.499183306823943 1 51.4285714285714
AF R 20 -0.0132333333333328 0.0447458530193978 244 -0.295744352612877 0.767676853137215 1 54.2857142857143
AF R 21 -0.00736666666666709 0.0447458530193979 244 -0.164633506114490 0.869368761250476 1 57.1428571428571
AF R 22 -0.0150833333333333 0.0447458530193978 244 -0.337088966139376 0.736339607062867 1 60
